Country Name,n_obs,year_start,year_end,m2_growth,inflation,gdp_growth
Guatemala,30,1991,2020,0.13148400894636925,0.0696402722230625,0.03444250686783844
Guinea,16,2005,2020,0.1985320782489277,0.13740759709130035,0.048199189498559614
Guinea-Bissau,30,1991,2020,0.14193530901948936,0.10714557961401737,0.03159701682049665
Guyana,26,1995,2020,0.10154999406929203,0.043380197167821974,0.04278724293157902
Haiti,30,1991,2020,0.14783666319182429,0.12640533495578213,0.009814968639886127
Honduras,30,1991,2020,0.1561117501545669,0.09492765814552226,0.07578399037188378
"Hong Kong SAR, China",29,1992,2020,0.07945048601321417,0.026080398754680052,0.030302937079151424
Hungary,30,1991,2020,0.12010353376219017,0.08704713772805461,0.015267911443947686
Iceland,30,1991,2020,0.09348661463264563,0.040005838320145634,0.02347937088419497
India,30,1991,2020,0.14238295426852307,0.06920501264536169,0.056497597541914975
Indonesia,30,1991,2020,0.14644452106940378,0.0833199016597294,0.04456428167351033
"Iran, Islamic Rep.",26,1991,2016,0.24493113047579035,0.17856941159267123,0.03313938092632745
Iraq,16,2005,2020,0.13265926604077904,0.06463263217941562,0.04072544756195118
Israel,30,1991,2020,0.09990444816452601,0.039879403238653695,0.04029579230285686
Jamaica,30,1991,2020,0.14117368032707442,0.12754914439349993,0.009381659248971275
Japan,30,1991,2020,0.019543965874445728,0.003644959472497611,0.0073404024046369665
Jordan,30,1991,2020,0.07719990528766361,0.032411470752626785,0.042383188347690864
Kazakhstan,27,1994,2020,0.2970165499427995,0.2330654789739221,0.038416304368499965
Kenya,30,1991,2020,0.1443528419382986,0.10465894099876606,0.033858055809627884
"Korea, Rep.",30,1991,2020,0.12803321220270406,0.03183445752733668,0.04745562007649061
Kosovo,12,2009,2020,0.08703670738193055,0.014822178454221735,0.03704041443417457
Kuwait,29,1992,2020,0.06063962815219097,0.026017269526529954,0.059494177712609224
Kyrgyz Republic,25,1996,2020,0.18527575957175502,0.09165084823619145,0.04040385708448383
Lao PDR,20,1991,2010,0.30873603489468004,0.1652467476019476,0.06436390263671914
Lebanon,9,2009,2017,0.07781293652426374,0.024987716910811822,0.033248816950472104
Lesotho,28,1991,2020,0.10155510928598575,0.041084209295995024,0.026097241005533917
Liberia,19,2002,2020,0.12790752750340262,0.10993995927412432,0.016552563576154672
Libya,30,1991,2020,0.10455885138988125,0.04912397879354457,-0.004546313193130895
"Macao SAR, China",30,1991,2020,0.1039205880370672,0.03324560061027433,0.026397947203870467
Madagascar,30,1991,2020,0.15138052309894617,0.10531758414460055,0.021149958400156522
Malawi,30,1991,2020,0.24614144497424478,0.17930979362568308,0.03914474562893713
Malaysia,30,1991,2020,0.10778171986171732,0.02494599395600498,0.05100611599909269
Maldives,30,1991,2020,0.14489264603229052,0.04463300840718999,0.04229574037994297
Mali,30,1991,2020,0.1051637758580713,0.024177397428113794,0.04175146778959172
Mauritania,16,1991,2019,0.22299970207429576,0.047114025797827,0.04014282251046275
Mauritius,30,1991,2020,0.11142689511783459,0.049894890314027024,0.03592525838505066
Mexico,30,1991,2020,0.1382832639818594,0.08405945593110574,0.01882851239163526
"Micronesia, Fed. Sts.",21,2000,2020,0.04590489356387855,0.02372777873375876,0.005487556619396034
Moldova,29,1992,2020,0.2994651769810391,0.33634103451194597,-0.003702341102990683
Mongolia,28,1993,2020,0.26916620923188667,0.16019560476030645,0.05181519546952083
Montenegro,15,2006,2020,0.12032867454159325,0.02321156128263695,0.017712075109815827
Morocco,30,1991,2020,0.0853346897860354,0.022526677592818286,0.03380014725479548
Mozambique,16,2005,2020,0.1768098875861579,0.07455741750528466,0.055626699155089554
Myanmar,29,1991,2019,0.25197972207494085,0.15883948032635076,0.08327946529434946
Namibia,18,2003,2020,0.12439081414734116,0.05266147800677093,0.030715475600951336
Nepal,30,1991,2020,0.16431473621545342,0.0707695668280879,0.04288506340203912
New Zealand,28,1991,2020,0.06885342924293093,0.01913906156313061,0.028110587890465815
Nicaragua,21,2000,2020,0.10843703033231308,0.06543776023408043,0.028506711592611516
Niger,30,1991,2020,0.08091902973097606,0.025515935887786067,0.03955023770994413
Nigeria,30,1991,2020,0.21720529309921435,0.16107692186747452,0.037858831344216054
North Macedonia,27,1994,2020,0.0852207711926338,0.052789029753567675,0.021807824557100598
Norway,30,1991,2020,0.06021231697584639,0.02093381901962088,0.021607301539430187
Oman,17,2001,2017,0.111748462153075,0.02396953361125168,0.035478661951114654
Pakistan,30,1991,2020,0.144958179665509,0.08028484646821758,0.03925596165948401
Panama,18,1991,2008,0.11993275895239543,0.01750206119422273,0.06172153695364319
Papua New Guinea,29,1991,2019,0.10436818333527975,0.06850453955132235,0.04171492950361255
Paraguay,30,1991,2020,0.1496640040918384,0.07966067004438053,0.030037087079419798
Peru,30,1991,2020,0.19912385295809945,0.1248119767622036,0.038913629030051196
Philippines,30,1991,2020,0.12616458296257468,0.051179897069527414,0.04027034301762645
Poland,30,1991,2020,0.1511645494038074,0.09422622353317583,0.03556159847100808
Qatar,30,1991,2020,0.12622574728233882,0.029417992969266425,0.07375210226279627
Romania,30,1991,2020,0.3039893407283746,0.2866657357293112,0.019509734430466708
Russian Federation,19,2002,2020,0.18743730300535147,0.08471675014669755,0.028987757393795135
Rwanda,29,1991,2020,0.1506560019158948,0.08971341846726186,0.07166804128493463
Samoa,30,1991,2020,0.07940274538525939,0.0341143829335314,0.025033208753105166
Sao Tome and Principe,24,1997,2020,0.1873468912186825,0.1346641223322069,0.036453471079435605
Saudi Arabia,27,1991,2017,0.08394512261684192,0.019469253913798258,0.03520800343132785
Senegal,30,1991,2020,0.09672876115089366,0.02427444272852551,0.03649737268292779
Serbia,23,1998,2020,0.23518765703812242,0.13724022058577273,0.025033299345083047
Seychelles,30,1991,2020,0.11508934217631292,0.04168148903316697,0.03372792487319979
Sierra Leone,14,2007,2020,-0.3065855302350334,0.09339573106808434,0.035896650515499014
Singapore,30,1991,2020,0.08163406987105569,0.015477179678923895,0.05190796169652465
Solomon Islands,30,1991,2020,0.12183773047655559,0.07092227320497094,0.029205724776024174
South Africa,30,1991,2020,0.1091281020638288,0.06209426501258908,0.01999239465268232
South Sudan,4,2012,2015,0.3113013491775778,0.20373662147571192,-0.14384447814896184
Sri Lanka,29,1991,2019,0.16016618392822493,0.08184708270739416,0.05012356589688643
St. Kitts and Nevis,30,1991,2020,0.06719209555967669,0.022750592169196882,0.025724100697432323
St. Lucia,30,1991,2020,0.04686251633700766,0.02148515612286121,0.008410267924072084
St. Vincent and the Grenadines,30,1991,2020,0.0477504570033832,0.02106928025642626,0.022339001311498664
Sudan,30,1991,2020,0.35333180330337133,0.3280591938410241,0.029422761102369202
Suriname,29,1991,2020,0.3101179367906817,0.2843505993997263,0.01567902111736626
Sweden,30,1991,2020,0.06413789876192635,0.016045723337482533,0.019392337451834153
Switzerland,26,1991,2016,0.04707336665008759,0.009826518249151346,0.015741921622495606
Syrian Arab Republic,21,1991,2011,0.1214771675903323,0.054448665978860965,0.052487016439180134
Tajikistan,16,2001,2016,0.2879254313884454,0.10352850297302407,0.0741533897760791
Tanzania,30,1991,2020,0.17327769102672394,0.10415508128489069,0.049974346979828374
Thailand,30,1991,2020,0.08750027392817046,0.02713492119840241,0.036638510623855564
Timor-Leste,18,2003,2020,0.16633221114225608,0.04423978664250525,0.05833188290650742
Togo,30,1991,2020,0.08444650855141198,0.03596882092304516,0.030418067220283854
Tonga,30,1991,2020,0.08883556254351875,0.0462895436893885,0.01667392809697278
Trinidad and Tobago,30,1991,2020,0.0835035546384668,0.052234426558123916,0.034615909106459834
Tunisia,30,1991,2020,0.09390153433703527,0.04121793321961443,0.031209823857935484
Turkiye,30,1991,2020,0.350176142340784,0.27363239455272037,0.04213955187109993
Uganda,27,1994,2020,0.16065729043115023,0.05989750515497031,0.06180639021108731
Ukraine,28,1993,2020,0.4001117521439295,0.39791682833312286,-0.010820958894455224
United Arab Emirates,13,2008,2020,0.07529963794410986,0.019569826156713502,0.01903959110568547
United Kingdom,30,1991,2020,0.06285568058835883,0.02272435542068063,0.017023431327715007
United States,30,1991,2020,0.05674158572270578,0.02278376453264753,0.023364665305610897
Uruguay,30,1991,2020,0.1796487611562154,0.15491541241703102,0.025728911999563783
Uzbekistan,7,2014,2020,0.19110136762473268,0.1141328461698795,0.053148117892389636
Vanuatu,30,1991,2020,0.04510675417690469,0.02640569046658599,0.025070413444867632
"Venezuela, RB",5,2009,2013,0.3422410466569111,0.2504049256173834,0.012288869707134609
Viet Nam,25,1996,2020,0.22126424887413576,0.05742416943054044,0.06313701465309592
West Bank and Gaza,22,1999,2020,0.08405622262617207,0.026687970114572093,0.030416327555368383
"Yemen, Rep.",23,1991,2013,0.16381905333133542,0.15805792119804057,0.0392992254593722
Zambia,29,1991,2020,0.28766283645145796,0.20880623577877794,0.043037758544265614
Zimbabwe,11,2010,2020,0.4546212851826818,0.303177016748152,0.043924870141560615
